Ubigeo;Departamento;Provincia;Distrito;Indicador;Unidad de medida;Anio 2012;Anio 2013;Anio 2014;Anio 2015;Anio 2016;Anio 2017;Anio 2018;Anio 2019;Anio 2020;Anio 2021;Anio 2022;Anio 2023
020509;ANCASH;BOLOGNESI;HUASTA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;466;439;420;444;419;397;378;365;368;387;368;333
020510;ANCASH;BOLOGNESI;HUAYLLACAYAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;280;304;254;254;238;227;207;213;213;211;214;200
020511;ANCASH;BOLOGNESI;LA PRIMAVERA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;74;70;52;53;55;43;41;38;42;35;31;26
020512;ANCASH;BOLOGNESI;MANGAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;137;120;121;112;112;104;94;92;98;109;102;92
020513;ANCASH;BOLOGNESI;PACLLON;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;346;323;296;283;269;254;236;237;229;224;211;181
020514;ANCASH;BOLOGNESI;SAN MIGUEL DE CORPANQUI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;31;27;34;32;38;34;27;30;34;36;36;43
020515;ANCASH;BOLOGNESI;TICLLOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;178;169;161;157;152;144;129;119;119;120;101;97
020602;ANCASH;CARHUAZ;ACOPAMPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;581;575;578;571;539;541;522;532;527;554;578;546
020603;ANCASH;CARHUAZ;AMASHCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;337;319;303;283;268;257;247;223;239;242;234;200
020604;ANCASH;CARHUAZ;ANTA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;667;633;649;628;616;619;604;579;577;572;568;548
020605;ANCASH;CARHUAZ;ATAQUERO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;456;475;479;472;466;426;416;406;400;390;384;338
020601;ANCASH;CARHUAZ;CARHUAZ;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;5341;5443;5325;5302;5367;5379;5514;5667;5764;5769;5839;6075
020606;ANCASH;CARHUAZ;MARCARA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2410;2525;2499;2465;2446;2433;2364;2309;2296;2350;2225;2195
020607;ANCASH;CARHUAZ;PARIAHUANCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;364;299;296;291;287;269;279;276;282;297;269;266
020608;ANCASH;CARHUAZ;SAN MIGUEL DE ACO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;925;896;877;809;789;767;729;709;709;711;673;657
020609;ANCASH;CARHUAZ;SHILLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;637;632;601;574;569;546;512;493;489;493;467;427
020610;ANCASH;CARHUAZ;TINCO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;619;595;590;578;555;536;516;497;492;505;476;460
020611;ANCASH;CARHUAZ;YUNGAR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;847;850;793;798;806;808;795;828;819;829;807;787
020701;ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUIS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;4317;4109;3963;3940;3692;3480;3297;3174;3171;3152;3152;2798
020702;ANCASH;CARLOS FERMIN FITZCARRALD;SAN NICOLAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1437;1461;1446;1290;1212;1177;1146;1158;1120;1062;1062;914
020703;ANCASH;CARLOS FERMIN FITZCARRALD;YAUYA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1852;1827;1776;1673;1605;1518;1409;1342;1292;1285;1285;1178
020802;ANCASH;CASMA;BUENA VISTA ALTA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;962;967;973;999;1052;1015;1031;1085;1101;1134;1150;1182
020801;ANCASH;CASMA;CASMA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;8881;9397;9373;9501;10045;10380;10358;10720;11056;11133;11873;12221
020803;ANCASH;CASMA;COMANDANTE NOEL;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;316;323;316;317;313;297;282;289;320;361;358;368
020804;ANCASH;CASMA;YAUTAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2095;2095;2103;2147;2256;2259;2240;2291;2391;2438;2532;2542
020902;ANCASH;CORONGO;ACO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;127;116;115;112;97;94;90;88;96;101;96;88
020903;ANCASH;CORONGO;BAMBAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;149;138;149;143;127;125;117;115;128;139;117;100
020901;ANCASH;CORONGO;CORONGO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;637;623;582;567;543;535;508;497;530;548;505;467
020904;ANCASH;CORONGO;CUSCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1020;1001;920;882;866;876;844;886;961;966;954;955
020905;ANCASH;CORONGO;LA PAMPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;333;351;299;295;275;292;294;284;327;335;326;310
020906;ANCASH;CORONGO;YANAC;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;205;186;165;169;144;144;136;155;174;166;162;151
020907;ANCASH;CORONGO;YUPAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;130;96;108;113;108;89;91;102;109;116;110;89
020102;ANCASH;HUARAZ;COCHABAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;632;667;595;541;496;487;489;462;450;444;431;414
020103;ANCASH;HUARAZ;COLCABAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;38;52;24;18;17;10;11;23;25;27;25;26
020104;ANCASH;HUARAZ;HUANCHAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;635;576;512;514;480;474;458;438;447;458;412;364
020101;ANCASH;HUARAZ;HUARAZ;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;17037;16615;16170;16526;17617;17894;18202;18133;17832;17823;18773;18868
020105;ANCASH;HUARAZ;INDEPENDENCIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;21813;23583;22596;22217;23522;23930;24782;25647;25996;26190;27382;26764
020106;ANCASH;HUARAZ;JANGAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1040;1137;1051;1156;1096;1081;1093;1100;1069;1059;1077;1041
020107;ANCASH;HUARAZ;LA LIBERTAD;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;410;433;416;404;367;383;374;354;338;337;327;322
020108;ANCASH;HUARAZ;OLLEROS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;525;505;463;474;502;493;480;440;466;499;496;497
020109;ANCASH;HUARAZ;PAMPAS GRANDE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;330;329;265;253;238;223;207;219;215;227;219;199
020110;ANCASH;HUARAZ;PARIACOTO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1527;1562;1488;1496;1483;1498;1458;1406;1438;1433;1450;1453
020111;ANCASH;HUARAZ;PIRA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1109;1113;1041;975;955;895;852;831;803;813;788;761
020112;ANCASH;HUARAZ;TARICA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1663;1541;1537;1451;1469;1270;1250;1249;1436;1486;1508;1466
021002;ANCASH;HUARI;ANRA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;569;538;507;512;483;466;432;405;399;398;384;366
021003;ANCASH;HUARI;CAJAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;758;788;767;712;701;673;636;624;632;660;626;588
021004;ANCASH;HUARI;CHAVIN DE HUANTAR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3566;3368;3263;3112;3056;2752;2728;2890;2866;2872;2899;3461
021005;ANCASH;HUARI;HUACACHI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;736;714;664;642;607;591;570;544;582;559;552;506
021006;ANCASH;HUARI;HUACCHIS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;708;700;633;611;589;539;487;484;469;476;553;529
021007;ANCASH;HUARI;HUACHIS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1196;1159;1113;1078;1008;1007;924;916;878;942;965;864
021008;ANCASH;HUARI;HUANTAR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;947;872;836;793;748;700;661;654;622;637;647;617
021001;ANCASH;HUARI;HUARI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;4350;4232;4266;4296;4331;4339;4332;4416;4441;4414;4456;4461
021009;ANCASH;HUARI;MASIN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;530;470;451;405;405;392;371;373;362;361;404;330
021010;ANCASH;HUARI;PAUCAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;917;863;737;738;640;675;621;602;586;603;562;535
021011;ANCASH;HUARI;PONTO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1101;1063;1007;953;921;883;839;803;767;757;1005;689
021012;ANCASH;HUARI;RAHUAPAMPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;295;285;286;288;301;292;305;304;311;331;337;307
021013;ANCASH;HUARI;RAPAYAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;581;608;597;585;528;495;465;462;477;463;430;429
021014;ANCASH;HUARI;SAN MARCOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;4805;4684;4721;4528;4594;4252;4018;3985;4125;4227;4667;4702
